Shortest: hook_side: over the top: cube_h_: W,
Shortest: 2fingerpinch_side: end to end: cube_h_: H,48
Shortest: 2fingerpinch_top: end to end: cone_h_: W,
Shortest: equidistant_top: 3 around the sides: cylinder_e_: W,28
Longest: 3fingerpinch_side: end to end: cylinder_w_: W,
Shortest: 3fingerpinch_top: opposite sides: cylinder_h_: W,
Shortest: 3fingerpinch_top: opposite sides: cylinder_h_: H,
Longest: 3fingerpinch_side: end to end: cylinder_w_: H,
Shortest: equidistant_top: 3 around the sides: cylinder_e_: H,
Shortest: hook_side: over the top: cube_h_: E,
Shortest: hook_side: over the top: cube_h_: H,
Shortest: 3fingerpinch_top: opposite sides: cylinder_h_: E,
Longest: 3fingerpinch_side: end to end: cylinder_w_: E,41
Longest: 2fingerpinch_side: around the sides: cone_h_: E,56
Longest: hook_side: around the sides: ellipse_h_: E,
Shortest: 3fingerpinch_side: end to end: cube_h_: W,26
Longest: 2fingerpinch_side: around the sides: cone_h_: H,63
Longest: 2fingerpinch_side: around the sides: cone_h_: W,
Shortest: 2fingerpinch_top: end to end: cone_h_: H,
Shortest: 3fingerpinch_side: end to end: cube_h_: H,
Shortest: 3fingerpinch_side: end to end: cube_h_: E,
Shortest: 2fingerpinch_side: end to end: cone_e_: W,47
"Shortest: equidistant_side: 2 pinch the sides, 1 on the top: cone_h_: H",
Longest: 3fingerpinch_side: end to end: cone_e_: H,40
Longest: 3fingerpinch_side: end to end: cone_e_: E,
"Shortest: equidistant_side: 2 pinch the sides, 1 on the top: cone_h_: E",
Longest: 3fingerpinch_side: end to end: cone_e_: W,
"Shortest: equidistant_side: 2 pinch the sides, 1 on the top: cone_h_: W",23
Longest: equidistant_top: 3 around the sides: cone_e_: H,
Shortest: equidistant_top: 3 around the sides: cylinder_e_: E,
"Shortest: equidistant_side: 3 around the sides, palm on round: cone_h_: W",22
Longest: hook_side: around the sides: cylinder_h_: W,
Longest: 2fingerpinch_top: 2 around the sides: ellipse_h_: W,50
"Shortest: equidistant_side: 3 around the sides, palm on round: cone_h_: E",
Shortest: 2fingerpinch_side: end to end: cone_e_: H,55
Longest: 2fingerpinch_top: 2 around the sides: ellipse_h_: H,
Longest: hook_side: around the sides: cylinder_h_: E,
Longest: 2fingerpinch_top: 2 around the sides: ellipse_h_: E,50
Longest: hook_side: around the sides: cylinder_h_: H,
"Shortest: equidistant_side: 3 around the sides, palm on round: cone_h_: H",
Longest: equidistant_top: 3 down the sides: cone_h_: W,75
Shortest: 2fingerpinch_side: end to end: cone_e_: E,38
Shortest: 2fingerpinch_top: 2 around the sides: cube_h_: H,24
Shortest: hook_side: over the top: ellipse_h_: E,
Shortest: 2fingerpinch_side: around the sides: cone_h_: W,48
Shortest: hook_side: over the top: ellipse_h_: H,
Shortest: hook_side: over the top: ellipse_h_: W,
Shortest: 2fingerpinch_side: around the sides: cone_h_: H,41
Shortest: 2fingerpinch_top: 2 around the sides: cube_h_: E,
Shortest: 2fingerpinch_side: around the sides: cone_h_: E,45
Shortest: 2fingerpinch_side: around the sides: cylinder_h_: H,25
Longest: 3fingerpinch_side: around the sides: cone_h_: E,
Longest: 3fingerpinch_side: around the sides: cone_h_: H,
Longest: 2fingerpinch_top: 2 around the sides: cube_h_: W,46
Longest: 2fingerpinch_top: 2 around the sides: cube_h_: H,45
Longest: 3fingerpinch_side: around the sides: cone_h_: W,42
Shortest: hook_side: around the sides: cube_h_: E,
Longest: 2fingerpinch_top: 2 around the sides: cube_h_: E,
"Shortest: equidistant_side: 2 pinch the sides, 1 on the top: cylinder_h_: E",
"Shortest: equidistant_side: 2 pinch the sides, 1 on the top: cylinder_h_: H",23
Shortest: 2fingerpinch_side: around the sides: cylinder_h_: W,25
"Shortest: equidistant_side: 2 pinch the sides, 1 on the top: cylinder_h_: W",
Shortest: 2fingerpinch_top: 2 around the sides: cube_h_: W,28
Longest: 3fingerpinch_top: around the sides: cylinder_e_: H,
Longest: 3fingerpinch_top: around the sides: cylinder_e_: E,
Shortest: 2fingerpinch_side: around the sides: cylinder_h_: E,0
Longest: 3fingerpinch_top: around the sides: cylinder_e_: W,
Shortest: hook_side: over the top: cylinder_h_: H,
Shortest: hook_side: over the top: cylinder_h_: E,
Shortest: hook_side: over the top: cylinder_h_: W,
