Cone w/e,Confidence,None,
Cone w/e,Confidence,e side 2fingerpinch up,63
Cone w/e,Confidence,e top 3fingerpinch up,
Cone w/e,Confidence,e side 3fingerpinch up,83
Cone w/e,Confidence,e top equidistant up,
Cone w/e,Confidence,e side equidistant up,81
Cone w/e,Confidence,e top 2fingerpinch up,
Cone w/e,Confidence,e top equidistant 90,
Cone w/e,Viable,None,
Cone w/e,Viable,e side 2fingerpinch up,1
Cone w/e,Viable,e top 3fingerpinch up,
Cone w/e,Viable,e side 3fingerpinch up,1
Cone w/e,Viable,e top equidistant up,
Cone w/e,Viable,e side equidistant up,1
Cone w/e,Viable,e top 2fingerpinch up,
Cone w/e,Viable,e top equidistant 90,
Cone w/e,Rank,None,
Cone w/e,Rank,e side 2fingerpinch up,2
Cone w/e,Rank,e top 3fingerpinch up,
Cone w/e,Rank,e side 3fingerpinch up,3
Cone w/e,Rank,e top equidistant up,
Cone w/e,Rank,e side equidistant up,1
Cone w/e,Rank,e top 2fingerpinch up,
Cone w/e,Rank,e top equidistant 90,
Cylinder w/e,Confidence,w side 3fingerpinch up,
Cylinder w/e,Confidence,None,
Cylinder w/e,Confidence,w top 3fingerpinch up,71
Cylinder w/e,Confidence,w top 2fingerpinch up,
Cylinder w/e,Confidence,w side 2fingerpinch up,
Cylinder w/e,Confidence,e top 3fingerpinch up,70
Cylinder w/e,Confidence,e side equidistant up,82
Cylinder w/e,Confidence,e side hook 90,
Cylinder w/e,Confidence,e top equidistant angled,
Cylinder w/e,Confidence,e top equidistant up,
Cylinder w/e,Confidence,e side hook up,
Cylinder w/e,Viable,w side 3fingerpinch up,
Cylinder w/e,Viable,None,
Cylinder w/e,Viable,w top 3fingerpinch up,1
Cylinder w/e,Viable,w top 2fingerpinch up,
Cylinder w/e,Viable,w side 2fingerpinch up,
Cylinder w/e,Viable,e top 3fingerpinch up,1
Cylinder w/e,Viable,e side equidistant up,1
Cylinder w/e,Viable,e side hook 90,
Cylinder w/e,Viable,e top equidistant angled,
Cylinder w/e,Viable,e top equidistant up,
Cylinder w/e,Viable,e side hook up,
Cylinder w/e,Rank,w side 3fingerpinch up,
Cylinder w/e,Rank,None,
Cylinder w/e,Rank,w top 3fingerpinch up,1
Cylinder w/e,Rank,w top 2fingerpinch up,
Cylinder w/e,Rank,w side 2fingerpinch up,
Cylinder w/e,Rank,e top 3fingerpinch up,2
Cylinder w/e,Rank,e side equidistant up,3
Cylinder w/e,Rank,e side hook 90,
Cylinder w/e,Rank,e top equidistant angled,
Cylinder w/e,Rank,e top equidistant up,
