Shape,height,width,extent,obj_or,grasp,approach,hand_or,Yes Count,Total Count
cube,24.5,14.79,20.49,h,equidistant,side,up,2,16
cube,19.15,15.26,23.16,h,equidistant,side,up,3,16
cube,22.33,17.93,22.33,h,equidistant,side,up,1,16
cube,25.52,20.61,21.51,h,equidistant,side,up,0,16
cube,20.17,21.08,24.18,h,equidistant,side,up,0,16
cube,25.01,17.7,21.0,h,equidistant,side,up,1,16
cube,22.84,20.85,22.84,h,equidistant,side,up,0,16
cube,21.82,15.02,21.82,h,equidistant,side,up,3,16
cube,19.66,18.17,23.67,h,equidistant,side,up,1,16
cube,12.05,13.5,14.64,h,equidistant,side,up,12,16
cube,14.07,11.67,13.4,h,equidistant,side,up,15,16
cube,18.23,11.01,13.9,h,equidistant,side,up,14,16
cube,16.09,9.83,12.16,h,equidistant,side,up,15,16
cube,9.91,12.33,12.9,h,equidistant,side,up,11,16
cube,16.21,12.84,15.14,h,equidistant,side,up,13,16
cube,14.18,14.68,16.38,h,equidistant,side,up,9,16
cube,11.93,10.49,11.66,h,equidistant,side,up,14,16
cube,13.95,8.65,10.42,h,equidistant,side,up,15,16
cube,11.51,17.0,14.97,h,equidistant,side,up,8,16
cube,14.07,17.0,13.4,h,equidistant,side,up,9,16
cube,14.07,14.0,13.4,h,equidistant,side,up,16,16
cube,14.07,20.0,13.4,h,equidistant,side,up,5,16
cube,16.62,14.0,11.83,h,equidistant,side,up,14,16
cube,16.62,20.0,11.83,h,equidistant,side,up,4,16
cube,11.51,20.0,14.97,h,equidistant,side,up,5,16
cube,16.62,17.0,11.83,h,equidistant,side,up,6,16
cube,11.51,14.0,14.97,h,equidistant,side,up,14,16
cube,21.51,20.61,8.48,h,equidistant,side,up,2,16
cube,21.0,17.7,8.99,h,equidistant,side,up,4,16
cube,23.67,18.17,14.34,h,equidistant,side,up,3,16
cube,24.18,21.08,13.83,h,equidistant,side,up,0,16
cube,21.82,15.02,12.18,h,equidistant,side,up,10,16
cube,22.84,20.85,11.16,h,equidistant,side,up,2,16
cube,20.49,14.79,9.5,h,equidistant,side,up,10,16
